"LOC","STATION","NUMB","SPEC","2017","BRSTAT"
"MORA","SSPT","02940","RUGR","L","B"
"MORA","SSPT","07080","CONI","B","B"
"MORA","SSPT","07410","VASW","T","T"
"MORA","SSPT","08730","RUHU","B","B"
"MORA","SSPT","06950","BADO","L","B"
"MORA","SSPT","09600","RBSA","B","B"
"MORA","SSPT","09650","DOWO","L","B"
"MORA","SSPT","09660","HAWO","B","B"
"MORA","SSPT","09800","RSFL","B","B"
"MORA","SSPT","09860","PIWO","T","T"
"MORA","SSPT","11380","WEWP","T","T"
"MORA","SSPT","11475","TRFL","T","T"
"MORA","SSPT","11475","WIFL","T","T"
"MORA","SSPT","11510","HAFL","T","T"
"MORA","SSPT","11555","PSFL","B","B"
"MORA","SSPT","11555","WEFL","B","B"
"MORA","SSPT","12760","WAVI","B","B"
"MORA","SSPT","12920","STJA","B","B"
"MORA","SSPT","13440","VGSW","T","T"
"MORA","SSPT","13570","BCCH","B","B"
"MORA","SSPT","13600","CBCH","B","B"
"MORA","SSPT","13730","BRCR","B","B"
"MORA","SSPT","14109","PAWR","B","B"
"MORA","SSPT","14240","GCKI","B","B"
"MORA","SSPT","14810","SWTH","B","B"
"MORA","SSPT","15000","AMRO","B","B"
"MORA","SSPT","15060","VATH","L","B"
"MORA","SSPT","15550","CEDW","B","B"
"MORA","SSPT","18320","ORJU","B","B"
"MORA","SSPT","18230","SOSP","T","T"
"MORA","SSPT","15810","BTYW","B","B"
"MORA","SSPT","16290","WIWA","L","B"
"MORA","SSPT","16840","WETA","B","B"
"MORA","SSPT","18610","BHGR","B","B"
